#{"t_start": 1720746573.3021734, "env_id": "None"}
r,l,t
-1500.0,3000,50.694525
-1500.0,3000,77.261785
-1470.0,3000,99.38134
-1380.0,3000,126.091285
-1080.0,3000,148.394375
-660.0,3000,174.460553
60.0,3000,208.242421
-360.0,3000,222.307839
-600.0,3000,256.393704
-540.0,3000,270.467324
-510.0,3000,304.48898
-390.0,3000,330.551923
-120.0,3000,352.398438
-480.0,3000,378.466058
-30.0,3000,392.545465
-270.0,3000,426.526592
-360.0,3000,453.101156
-210.0,3000,475.324681
-120.0,3000,501.381702
-90.0,3000,523.680382
-270.0,3000,550.200759
60.0,3000,584.594311
-210.0,3000,598.84526
-210.0,3000,633.138652
-270.0,3000,647.376883
-330.0,3000,681.630705
-60.0,3000,708.734961
-240.0,3000,731.111734
-180.0,3000,757.303815
150.0,3000,771.39742
-150.0,3000,805.188564
-60.0,3000,831.486798
-180.0,3000,854.680445
0.0,3000,881.331276
-390.0,3000,903.133184
-240.0,3000,929.814611
30.0,3000,964.032398
-240.0,3000,978.245311
-210.0,3000,1012.376535
30.0,3000,1026.453685
-270.0,3000,1060.682849
30.0,3000,1086.776936
150.0,3000,1101.005996
-180.0,3000,1135.284698
-240.0,3000,1149.513491
180.0,3000,1183.71187
0.0,3000,1209.853147
-90.0,3000,1231.917707
0.0,3000,1258.320914
-150.0,3000,1280.373703
-360.0,3000,1306.460557
-120.0,3000,1340.847058
-240.0,3000,1354.949313
-270.0,3000,1388.798626
-270.0,3000,1403.189586
-210.0,3000,1437.671402
30.0,3000,1464.071992
-420.0,3000,1478.273762
-270.0,3000,1512.531085
-210.0,3000,1526.757458
-540.0,3000,1560.991543
150.0,3000,1587.087855
240.0,3000,1609.158498
-330.0,3000,1635.439781
-60.0,3000,1658.030767
-60.0,3000,1684.265664
90.0,3000,1718.08797
-180.0,3000,1732.304053
-390.0,3000,1766.369327
-180.0,3000,1780.594213
-270.0,3000,1814.498287
-210.0,3000,1840.652099
-300.0,3000,1854.883629
-210.0,3000,1888.854596
-210.0,3000,1903.095418
30.0,3000,1939.510781
0.0,3000,1965.433765
-150.0,3000,1987.228214
-480.0,3000,2013.039556
270.0,3000,2034.8521
60.0,3000,2060.822703
-390.0,3000,2094.902986
-30.0,3000,2108.962988
