#{"t_start": 1720746572.9378939, "env_id": "None"}
r,l,t
-1500.0,3000,51.058799
-1500.0,3000,77.626042
-1470.0,3000,99.745612
-1470.0,3000,126.455567
-1110.0,3000,148.758631
-1080.0,3000,174.824837
-210.0,3000,208.606678
-240.0,3000,222.672106
-630.0,3000,256.757986
-360.0,3000,270.831582
120.0,3000,304.85325
-540.0,3000,330.916148
-510.0,3000,352.762743
-480.0,3000,378.830334
-240.0,3000,392.909708
-360.0,3000,426.890863
-600.0,3000,453.465444
-420.0,3000,475.688948
-150.0,3000,501.745968
-360.0,3000,524.04463
-330.0,3000,550.565026
-240.0,3000,584.95858
-420.0,3000,599.209526
-270.0,3000,633.50293
-150.0,3000,647.741151
420.0,3000,681.994967
-120.0,3000,709.099215
90.0,3000,731.476002
-240.0,3000,757.668087
-240.0,3000,771.761674
-300.0,3000,805.55283
-270.0,3000,831.851071
-90.0,3000,855.044717
210.0,3000,881.695554
-390.0,3000,903.497445
-300.0,3000,930.178879
90.0,3000,964.396643
-210.0,3000,978.609577
-270.0,3000,1012.740801
-270.0,3000,1026.817953
-300.0,3000,1061.047121
-330.0,3000,1087.141228
-360.0,3000,1101.370249
-120.0,3000,1135.648965
-240.0,3000,1149.877754
-120.0,3000,1184.076139
-270.0,3000,1210.217414
-150.0,3000,1232.281985
-180.0,3000,1258.685164
180.0,3000,1280.737972
-150.0,3000,1306.824827
-90.0,3000,1341.211328
-270.0,3000,1355.313581
0.0,3000,1389.16289
-120.0,3000,1403.553841
-390.0,3000,1438.035666
0.0,3000,1464.436261
-240.0,3000,1478.63802
-300.0,3000,1512.89534
-60.0,3000,1527.121719
-420.0,3000,1561.35581
-180.0,3000,1587.452133
-300.0,3000,1609.522763
-150.0,3000,1635.804047
-390.0,3000,1658.395013
-210.0,3000,1684.629927
-240.0,3000,1718.452229
-240.0,3000,1732.668324
-300.0,3000,1766.733588
120.0,3000,1780.958474
-510.0,3000,1814.862556
-360.0,3000,1841.016367
-30.0,3000,1855.247897
-300.0,3000,1889.218858
-360.0,3000,1903.459698
-60.0,3000,1939.875046
-90.0,3000,1965.798024
-360.0,3000,1987.592489
-210.0,3000,2013.403818
-330.0,3000,2035.216369
-30.0,3000,2061.186973
-300.0,3000,2095.267253
-300.0,3000,2109.327261
