#{"t_start": 1720746578.4567366, "env_id": "None"}
r,l,t
-300.0,3000,2032.088083
-240.0,3000,2034.445744
-330.0,3000,2036.807023
-60.0,3000,2039.168022
-450.0,3000,2041.51793
30.0,3000,2070.019241
30.0,3000,2072.366377
-270.0,3000,2074.712441
-300.0,3000,2077.062045
-210.0,3000,2079.40772
-60.0,3000,2116.042387
-360.0,3000,2118.387998
-210.0,3000,2120.730719
-390.0,3000,2123.065215
-60.0,3000,2125.414638
