#{"t_start": 1720746572.9885771, "env_id": "None"}
r,l,t
-1500.0,3000,51.008143
-1500.0,3000,77.57538
-1470.0,3000,99.69495
-1470.0,3000,126.404904
-1050.0,3000,148.70798
-900.0,3000,174.774187
-570.0,3000,208.556006
-450.0,3000,222.621463
-510.0,3000,256.707331
-480.0,3000,270.780932
-660.0,3000,304.802589
-450.0,3000,330.865498
-420.0,3000,352.712085
-210.0,3000,378.779665
-360.0,3000,392.859063
-180.0,3000,426.840199
-480.0,3000,453.414754
-150.0,3000,475.63832
-480.0,3000,501.695312
-330.0,3000,523.993854
-390.0,3000,550.514247
-270.0,3000,584.9078
-180.0,3000,599.158746
-120.0,3000,633.452253
-270.0,3000,647.690496
-180.0,3000,681.944193
-180.0,3000,709.048441
-390.0,3000,731.425349
-390.0,3000,757.617431
-180.0,3000,771.711032
-300.0,3000,805.502171
-510.0,3000,831.80039
-120.0,3000,854.994059
-390.0,3000,881.644885
-210.0,3000,903.446826
-270.0,3000,930.128224
-270.0,3000,964.345986
-270.0,3000,978.558922
-360.0,3000,1012.690144
-360.0,3000,1026.76729
0.0,3000,1060.99646
270.0,3000,1087.09055
-120.0,3000,1101.319589
-360.0,3000,1135.598309
90.0,3000,1149.827099
-210.0,3000,1184.025501
-330.0,3000,1210.166766
60.0,3000,1232.23132
-240.0,3000,1258.634517
-210.0,3000,1280.687316
60.0,3000,1306.774171
-210.0,3000,1341.16067
-120.0,3000,1355.262928
-240.0,3000,1389.112242
120.0,3000,1403.503187
-330.0,3000,1437.985012
0.0,3000,1464.385592
-300.0,3000,1478.587367
-90.0,3000,1512.844689
-60.0,3000,1527.071092
-270.0,3000,1561.305153
-120.0,3000,1587.401474
60.0,3000,1609.472107
-450.0,3000,1635.753396
-300.0,3000,1658.344361
30.0,3000,1684.579268
180.0,3000,1718.401572
-330.0,3000,1732.617662
210.0,3000,1766.682933
-300.0,3000,1780.907827
-270.0,3000,1814.811896
-90.0,3000,1840.965707
-210.0,3000,1855.197242
0.0,3000,1889.168201
-360.0,3000,1903.409016
-90.0,3000,1939.824385
120.0,3000,1965.74738
-480.0,3000,1987.541853
-360.0,3000,2013.353166
-240.0,3000,2035.165718
-90.0,3000,2061.136313
-510.0,3000,2095.216608
-90.0,3000,2109.2766
