#{"t_start": 1721029898.2987626, "env_id": "None"}
r,l,t
-43.0,1073,11.248256
-26.0,902,19.543941
-52.0,1153,136.572921
-55.5,778,143.817019
-24.0,1088,257.972815
-32.5,1143,303.267652
-28.5,1502,419.784049
-27.5,1611,538.092792
64.0,2666,724.060283
101.0,2238,852.968106
101.0,1298,1017.407072
87.5,1908,1142.003149
92.5,1516,1261.233274
77.0,1970,1446.86352
110.5,2224,1571.799312
125.5,2659,1759.456964
84.0,1619,1882.075689
93.5,2478,2012.290921
97.0,1882,2189.955461
63.0,2615,2321.884108
80.0,2205,2498.37141
112.0,3000,2736.055258
63.5,2662,2921.699881
57.5,3000,3197.062109
111.0,1321,3209.312406
99.0,2146,3343.636503
97.5,1037,3464.321515
78.0,2080,3648.563784
69.5,3000,3780.749838
74.0,2704,4071.730913
41.0,2447,4202.862179
71.5,1560,4382.287505
93.5,1632,4397.308484
93.5,1575,4516.757987
54.0,2775,4702.247968
77.0,1926,4823.054849
101.5,3000,5110.600786
77.0,1965,5236.14315
-0.5,3000,5430.027192
101.0,2205,5553.245852
110.0,2102,5736.486528
97.5,1957,5863.785407
98.0,1965,6053.138507
6.0,3000,6289.597864
52.5,3000,6483.627768
77.0,2876,6723.160285
66.0,1896,6906.57595
79.5,1321,6918.67784
102.5,1468,7037.307921
11.5,2421,7218.876523
54.5,1802,7345.911011
48.0,2230,7517.425627
73.0,1612,7634.256376
78.0,3000,7823.787032
105.0,2740,8057.462176
51.5,2474,8226.679836
80.0,2373,8359.346375
51.0,1423,8475.652157
82.5,2475,8663.150802
86.5,936,8671.968724
80.0,1305,8787.446646
59.5,2157,8964.834389
57.0,2097,9096.010635
80.5,2227,9280.2353
78.5,2180,9413.984611
27.5,2170,9536.345782
65.5,1941,9716.670163
73.5,2636,9950.081753
84.5,1671,10020.918148
63.5,1705,10147.727343
82.5,2466,10331.586033
97.0,1964,10458.608607
71.5,2415,10693.924172
