#{"t_start": 1721029898.3623004, "env_id": "None"}
r,l,t
-77.0,629,6.95343
-57.5,661,13.188257
-56.0,791,126.866447
-63.0,988,135.957887
-85.5,781,143.238711
-43.5,1022,256.771641
-42.5,1171,302.345141
-35.0,1817,421.744514
38.5,3000,714.089053
70.0,2167,842.500331
47.5,3000,1022.645716
72.0,1558,1144.002966
25.5,2042,1268.110937
71.5,2521,1458.785711
88.5,3000,1754.034555
102.0,1428,1767.341934
108.0,2021,1893.614469
77.0,2919,2188.108271
90.0,2161,2315.762664
87.0,1941,2489.934088
76.0,1905,2613.20029
84.5,2770,2795.771138
103.0,1540,2918.332293
37.0,3000,3044.99075
102.5,2371,3329.996974
105.0,1673,3345.738494
47.5,3000,3649.454216
79.5,3000,3781.648403
43.5,2746,4072.984293
114.0,1593,4087.758275
14.5,2732,4386.391954
14.0,2736,4516.622016
82.5,2414,4698.737081
37.5,2028,4820.507734
100.5,1271,4982.324758
74.5,1732,5108.123666
117.0,1809,5231.840998
67.5,3000,5426.114682
37.5,2242,5549.624719
103.0,1481,5727.182562
28.5,3000,5864.081609
57.0,3000,6171.262777
43.0,2726,6296.921221
76.5,1950,6481.259077
78.0,2939,6721.408587
84.0,2629,6911.506595
72.0,2532,7039.895775
101.5,2287,7220.264958
85.0,1778,7347.049487
31.5,1611,7512.863577
63.0,2624,7639.02411
80.0,3000,7932.338016
74.5,1801,7948.974924
94.5,1675,8069.032448
28.5,3000,8353.883126
63.0,1673,8472.54552
54.5,2655,8661.631379
11.0,2529,8788.605686
96.0,2719,8971.234424
62.0,2542,9212.907592
35.0,2791,9409.50324
96.5,1852,9528.896464
72.0,2473,9714.184479
36.0,2003,9836.518704
69.0,1298,9953.656244
61.5,2485,10143.163491
45.0,1851,10263.881463
96.5,1816,10447.017993
20.0,3000,10579.334844
