#{"t_start": 1721029898.7928946, "env_id": "None"}
r,l,t
-17.0,807,8.29833
-84.0,873,16.348845
-54.5,895,130.938907
-64.5,867,138.995659
-32.5,1131,253.592694
-75.0,757,295.358352
-51.5,1158,408.691703
15.5,1063,418.472519
80.0,1335,534.138568
45.5,1910,713.057127
94.0,1633,835.744783
97.0,1875,853.860048
116.5,1802,1022.936894
94.0,2662,1259.736472
90.0,2208,1447.536124
118.0,1912,1569.635518
98.5,1113,1579.874009
52.5,2612,1767.246564
78.0,2922,2009.124016
62.5,2578,2193.205062
85.5,1816,2317.650147
104.5,1713,2489.723679
71.5,2354,2617.271657
98.5,3000,2909.419534
115.0,1719,2926.038155
63.5,1726,3040.956778
90.5,2315,3211.07346
43.5,3000,3464.403682
76.0,1849,3646.532943
70.5,2357,3772.757747
112.0,1389,3948.457512
103.5,2465,4074.312546
55.5,1909,4200.307713
103.0,1521,4271.648962
55.0,1877,4396.869667
77.5,2046,4578.315422
52.5,1600,4695.240644
60.0,2308,4819.62217
108.5,2078,4988.890115
77.0,1974,5116.905141
102.0,1516,5238.324529
60.0,3000,5432.195798
80.0,2252,5661.52043
56.5,2827,5854.880414
49.0,2197,5988.13145
-35.5,1839,6171.74687
18.0,3000,6299.974247
83.5,1618,6481.201413
100.0,2150,6608.07804
66.5,3000,6907.627513
68.5,2180,7032.733418
67.5,2044,7210.764137
68.5,2079,7340.391048
56.5,1998,7463.743946
42.0,1612,7524.701424
82.5,3000,7758.858861
77.0,2012,7938.500535
107.0,1943,8061.065725
61.5,1488,8178.488039
48.0,3000,8359.614196
93.0,1520,8476.817488
66.0,1011,8543.302535
95.5,1700,8666.509576
73.0,1560,8784.533762
65.5,1873,8959.259686
65.0,1861,9088.283387
100.0,1199,9099.328306
82.0,1509,9276.954557
58.5,1255,9402.211118
44.5,2680,9529.197553
-1.5,2266,9712.57371
66.5,2832,9842.521465
52.0,2450,10136.909309
42.0,2500,10263.598145
31.0,2436,10452.434501
78.0,2081,10576.309326
