#{"t_start": 1721029897.3608663, "env_id": "None"}
r,l,t
-63.0,1018,11.676199
-58.5,542,16.688161
-75.0,774,130.170276
-96.5,623,135.899346
-46.5,768,143.051954
-11.5,1299,293.983302
-52.5,1109,304.166824
-29.5,1418,419.904068
48.5,2130,543.070966
-8.0,2441,726.915342
76.5,2872,963.39255
83.5,1606,1135.89195
75.0,1783,1152.339661
99.5,3000,1452.712471
89.5,3000,1584.840466
61.5,1562,1762.536966
102.5,2329,1891.6281
74.0,1676,2014.364118
81.0,2332,2196.18458
112.0,1386,2316.681208
93.0,1551,2487.250219
67.5,3000,2620.736454
83.0,3000,2913.548813
110.0,2102,3031.715572
118.0,1941,3198.774578
30.0,2389,3335.329994
96.0,1866,3463.459612
109.5,2124,3648.29202
97.5,1013,3657.627035
93.5,1583,3776.732303
83.5,1650,3955.075382
52.0,3000,4085.700134
50.0,1416,4264.439007
-82.5,1003,4273.634215
81.5,1460,4395.015404
41.0,1513,4513.868455
75.0,2731,4698.912545
73.5,1673,4817.414574
57.5,2121,4987.081754
102.5,2559,5120.486297
39.0,3000,5421.851164
7.0,2092,5543.89286
99.0,1148,5554.561225
98.0,1091,5728.503931
78.0,3000,5865.388172
63.5,1749,6052.74452
85.5,1834,6177.940899
56.5,1931,6296.2652
94.5,2793,6488.376322
71.0,2301,6722.642488
75.0,2711,6913.496937
37.5,3000,7096.407895
96.5,1839,7222.450356
73.0,1608,7347.666422
58.5,3000,7526.30913
91.0,2344,7754.401893
95.0,1761,7827.981916
76.5,1922,7949.503665
38.5,3000,8228.1768
4.5,1868,8356.199757
38.0,3000,8544.184199
94.5,1677,8667.17266
88.0,1124,8781.167813
82.5,1514,8795.152323
40.0,2302,8973.924479
85.0,1672,9101.099574
83.5,1657,9280.079652
74.0,1767,9410.009228
30.5,2437,9534.850174
60.0,1343,9709.705024
48.0,2152,9833.40037
60.5,1435,9951.824808
91.5,1396,10020.109918
14.5,2741,10260.180582
52.0,1606,10332.424132
76.5,2855,10572.325152
