#{"t_start": 1721029898.7163095, "env_id": "None"}
r,l,t
-82.5,995,10.105067
-56.0,769,17.198626
-32.5,1207,134.680476
-57.0,722,141.402017
-5.0,1049,255.2291
-42.0,1137,300.493002
-9.5,1477,416.760527
24.5,1893,537.666373
61.0,1473,712.437383
85.5,1831,837.321253
14.0,2815,1016.218261
83.5,2517,1146.407037
85.0,1716,1267.515788
104.0,1586,1449.55025
106.5,2729,1579.173717
101.0,1328,1754.574205
55.5,2891,1888.976334
63.5,1727,2012.200776
81.0,1407,2185.445491
85.5,1741,2309.250017
69.5,3000,2493.187397
81.0,2340,2620.576578
59.5,3000,2913.53044
57.0,3000,3040.196927
82.0,2377,3210.886361
84.5,2728,3461.365941
49.5,3000,3654.433376
99.5,2191,3779.151997
43.5,1802,3958.906015
76.5,2908,4088.698874
79.5,2289,4383.301986
95.5,2730,4513.392711
70.5,2282,4694.275488
83.5,1646,4812.533834
44.0,2737,4987.899874
61.5,2440,5120.218666
99.5,1203,5238.76546
23.5,1832,5421.879491
70.0,3000,5552.384609
71.5,2294,5737.406287
69.5,2207,5979.820006
28.0,3000,6174.174297
37.5,3000,6360.891813
79.0,1251,6480.254397
65.5,2901,6614.056521
72.0,1513,6791.226058
58.5,3000,7032.482805
95.5,1772,7208.100602
99.0,3000,7346.244735
84.5,2767,7522.738887
83.0,1580,7639.25455
99.0,3000,7932.56327
57.5,2050,8056.097859
117.5,2950,8229.708741
71.5,2472,8363.27313
50.5,1431,8479.631032
81.0,2340,8665.918507
76.0,1888,8786.955925
51.5,2335,8966.002265
48.5,2189,9098.00155
106.5,1801,9278.308572
71.0,2341,9413.539921
28.0,2282,9536.952801
21.0,1598,9714.102443
52.5,1649,9833.19844
57.0,2971,10021.240224
62.5,2473,10258.80764
53.5,2648,10449.575171
86.0,2765,10579.752776
