#{"t_start": 1721029898.3160176, "env_id": "None"}
r,l,t
-55.0,864,9.304681
-65.0,828,16.938113
-53.5,1004,132.525514
-59.0,541,137.586408
-53.5,994,250.963521
-46.5,792,293.019386
-26.0,880,301.113982
-43.0,1064,413.570253
7.0,2174,537.035092
73.5,1666,713.641207
51.5,2333,843.585248
58.0,3000,1023.724675
29.0,3000,1263.646077
83.5,1587,1445.76656
85.5,1806,1566.87764
79.0,2094,1698.038699
78.0,2057,1875.956312
98.0,3000,2010.965367
84.0,2592,2195.175833
63.5,2518,2326.190684
115.5,1721,2498.228883
118.5,2974,2735.676995
100.0,1226,2799.751005
103.5,2464,3029.395829
97.5,1024,3039.237718
88.0,1123,3198.400019
86.5,1997,3331.151294
29.5,2306,3463.706156
110.0,1205,3529.162422
56.5,2870,3770.810069
90.0,1266,3782.54568
88.5,3000,4076.273804
11.0,2524,4265.234579
60.0,2228,4393.658858
64.5,1787,4515.038938
92.0,1416,4687.951898
83.5,1597,4702.752643
75.0,1775,4822.14079
71.5,1480,4985.881787
70.0,2371,5117.557889
74.5,2780,5416.940391
80.0,1347,5429.244757
65.5,1809,5548.765305
69.5,2216,5733.099666
116.0,1696,5857.884238
58.0,2115,6048.713795
54.5,1751,6173.161609
-5.5,1891,6291.109371
58.5,2233,6478.046196
109.0,2003,6603.549364
78.0,2048,6785.729133
26.5,3000,6921.933022
105.0,1729,7042.954612
84.0,1705,7217.955352
78.5,1185,7339.269636
68.5,1235,7350.714662
81.0,1449,7514.993236
85.0,2701,7641.891916
92.5,1533,7760.595494
49.0,3000,7949.360473
79.5,2212,8178.077162
87.5,1965,8348.801028
67.5,2069,8472.004588
55.0,2756,8661.998968
93.5,1568,8780.074368
79.5,1323,8792.331355
88.5,2052,8968.776
55.0,2729,9212.210338
60.0,3000,9410.714862
79.0,1235,9524.229055
74.5,2583,9710.74546
65.5,2769,9840.107952
36.0,2875,10138.410681
67.0,2013,10260.600811
38.5,2252,10447.75528
9.0,3000,10580.074624
