#{"t_start": 1721029898.3501432, "env_id": "None"}
r,l,t
-22.0,1302,13.309252
-58.0,584,18.672558
-55.0,899,133.325059
-23.0,1080,143.389068
1.5,1566,296.729304
-81.5,1029,408.880887
43.5,1765,528.419008
71.0,1392,541.475301
57.5,3000,838.469611
87.5,1990,958.807251
-8.5,2428,1138.937226
96.5,1919,1261.892899
109.0,1174,1331.265457
79.0,3000,1572.277004
75.0,2670,1760.041193
99.5,1230,1879.05939
31.0,3000,2066.470325
94.0,1651,2189.639576
109.5,2085,2316.578941
76.5,1959,2490.916215
99.0,2978,2624.166025
76.0,2862,2915.845381
88.0,2025,3033.552133
59.5,3000,3209.962552
78.0,1151,3335.147186
112.0,1349,3347.683049
89.0,2136,3643.527713
97.0,1914,3661.118743
29.5,3000,3956.372987
66.0,3000,4087.039613
80.0,2275,4273.619822
82.5,2462,4509.164963
71.5,1471,4580.371577
88.5,1992,4700.993342
99.0,1170,4814.771671
89.5,2280,4985.947489
49.5,3000,5230.467426
86.5,1948,5307.500879
111.0,2200,5538.180814
103.5,667,5544.270092
8.5,3000,5735.860924
108.5,1941,5862.903473
76.0,1860,6051.391495
70.5,1377,6172.384857
77.5,1107,6182.652913
75.5,1858,6300.282441
74.0,2597,6597.578331
57.0,3000,6788.477851
59.5,3000,7028.940673
87.5,1939,7097.909109
68.0,3000,7344.995127
53.0,2582,7519.816322
118.0,2745,7751.649951
61.0,1479,7822.587192
104.0,1663,7941.674431
84.0,1736,8062.351361
72.0,2488,8231.685714
71.0,1464,8355.977047
78.5,2197,8479.388583
78.5,1201,8655.225142
86.5,1893,8672.816003
51.5,2463,8956.445478
70.5,2264,9089.167051
39.0,1339,9101.533324
46.5,2006,9283.671148
70.5,1380,9410.065726
12.5,2655,9536.926638
58.5,2156,9719.233127
62.0,2375,9950.224509
103.5,2577,10140.538504
52.0,1572,10258.686099
38.0,2216,10445.525144
77.0,1026,10454.931947
88.0,1926,10577.378339
