#{"t_start": 1721040892.6967957, "env_id": "None"}
r,l,t
-65.5,766,14.154993
-68.5,524,18.848573
-26.5,808,80.370001
-74.5,817,87.561584
-57.0,672,93.461802
-29.0,1584,172.344202
-68.0,535,177.121921
-65.5,835,238.069492
-25.5,939,246.397472
-85.0,770,307.120196
-87.0,588,312.291773
-56.0,738,318.878352
-37.0,1713,416.167305
-55.5,830,423.61985
-81.0,1146,486.161185
-54.5,905,494.287305
67.0,1119,587.375478
-64.5,845,594.626487
-73.5,1005,657.247191
-25.5,1851,726.139807
-30.5,1327,780.137469
-30.5,1341,843.473596
23.0,1703,911.111785
58.5,1275,975.234526
29.0,1361,1030.172413
-27.0,1661,1097.167821
-14.5,1925,1167.733258
38.0,1271,1273.552397
52.5,1626,1287.727986
-21.0,1318,1353.193831
62.0,1565,1463.448422
35.0,1910,1533.933323
-34.0,1898,1604.739735
87.0,1885,1717.955384
72.0,3000,1796.969962
77.5,2900,1906.247838
40.0,2443,2036.400393
45.5,1926,2150.88612
40.5,3000,2232.331323
91.5,3000,2342.771072
91.0,3000,2510.551589
123.5,2406,2585.417711
89.5,2153,2657.063789
89.0,2127,2765.782154
92.0,1467,2832.922955
