#{"t_start": 1721040892.7045946, "env_id": "None"}
r,l,t
-76.0,716,13.69951
-76.5,663,19.629126
-97.0,542,24.528487
-3.0,1260,89.916574
-77.0,625,95.397533
-68.0,568,154.270552
-97.0,548,159.191748
-75.0,796,177.208611
-35.0,913,238.863164
-96.0,642,244.509595
-57.0,692,250.599023
-55.5,856,312.161891
-75.5,762,318.941248
-56.0,832,408.42475
-52.5,1092,418.196719
-68.5,542,422.99347
-65.0,846,482.894803
-42.0,1141,493.053282
-86.0,734,553.596218
-75.5,780,589.654242
60.5,1413,655.623515
-9.5,1499,721.506136
-67.0,672,727.368363
-66.5,692,733.477944
28.0,1269,838.574928
33.5,1777,906.680718
9.0,2281,1022.578808
19.5,1471,1035.539664
-54.0,963,1096.541968
-28.5,1495,1163.382018
53.0,1662,1272.551482
45.5,3000,1352.678695
-29.5,1432,1461.834768
-31.5,1229,1472.526956
78.0,2071,1544.460271
75.5,1877,1658.58151
45.0,1999,1729.262404
83.5,1611,1796.173886
87.5,1894,1896.607413
82.5,1531,1964.46101
90.5,1341,1976.329902
-34.0,2815,2152.806298
48.5,1225,2163.913255
80.5,2318,2268.676769
70.5,2217,2342.55265
95.5,1802,2410.706555
79.0,3000,2579.80408
75.5,2795,2657.225033
103.5,1548,2760.772292
95.0,1714,2830.286028
