#{"t_start": 1721040892.2960496, "env_id": "None"}
r,l,t
-54.5,889,15.619404
-76.5,617,21.181179
-42.5,1093,85.064184
-55.5,861,92.748154
-76.5,657,152.367939
-86.5,612,157.915935
-76.0,665,174.71647
-62.0,1107,238.087952
-34.5,1014,247.091565
-65.5,767,307.791441
-28.5,661,313.575088
-77.5,585,318.830322
-75.5,725,407.383058
-75.0,821,414.533401
-13.0,1187,425.209695
-42.0,1212,488.395285
-22.5,1165,552.753337
-35.0,976,590.627792
-36.5,807,651.248897
-20.0,1337,662.935087
24.5,1978,733.053724
52.5,1580,840.912033
-53.0,1020,849.873344
37.0,2081,920.683624
51.0,1541,1030.228599
-28.0,1601,1096.735391
52.0,1591,1164.392421
92.0,1445,1219.254684
-26.0,1689,1286.402582
36.5,2021,1358.134202
-61.5,1099,1464.1958
41.5,1522,1531.322638
51.5,1551,1544.875686
98.5,1986,1659.961934
21.0,3000,1792.189484
77.0,1983,1893.370276
111.5,2202,1967.218792
87.5,1986,2038.945561
82.5,1490,2095.082058
51.0,1507,2163.14257
21.5,1563,2231.492327
94.0,1594,2329.353665
104.5,2562,2404.389322
36.0,2017,2511.291938
65.0,2773,2589.436215
73.5,1684,2656.938592
96.0,1913,2763.690886
75.5,1885,2834.595676
