#{"t_start": 1721040892.662172, "env_id": "None"}
r,l,t
-45.0,905,15.406613
-56.5,708,21.770508
-62.0,1076,85.55744
-77.0,662,91.43606
-40.5,1279,156.653728
-61.5,1132,177.644512
-73.0,957,239.657777
-40.0,1405,252.138875
-13.0,1197,316.681005
-97.5,498,321.06592
-23.0,1128,413.122949
-42.5,1126,423.220696
-54.0,963,484.21751
-28.5,1507,551.574589
26.0,1995,651.975741
-21.0,1306,663.368591
-18.5,1505,729.278189
36.0,1090,781.220366
-7.5,1717,847.931818
51.5,1514,913.855541
62.5,1610,1023.70079
-10.5,2175,1095.41642
-20.0,1403,1161.430391
38.0,2121,1274.676726
37.0,1131,1284.541741
-12.5,2088,1356.854679
60.0,2318,1473.48294
-13.0,2078,1545.608063
54.0,1691,1657.986697
70.0,2250,1731.010356
66.0,1935,1800.730172
84.5,1692,1899.316205
100.5,1336,1965.512496
37.0,3000,2089.396861
91.0,1343,2155.558468
81.0,2271,2230.419985
47.0,2950,2340.418666
88.0,1096,2402.269429
97.5,1932,2508.500462
94.0,1635,2576.394012
101.5,1389,2588.872626
73.0,1632,2655.886568
70.5,2352,2766.614844
