#{"t_start": 1721040892.750176, "env_id": "None"}
r,l,t
-45.5,846,14.810442
-58.0,547,19.703156
-56.0,851,81.668922
-76.0,714,87.936007
-53.5,1025,96.92693
-77.5,553,155.685001
-13.0,1152,176.899161
-43.5,1071,239.934892
-60.0,1322,251.647961
-88.0,525,310.151082
-57.0,695,316.428829
-42.0,1211,409.240155
-22.5,1171,419.774771
-34.5,932,480.408514
-43.0,1057,489.699513
-72.5,1007,552.683064
-74.0,861,589.527876
-21.0,1314,654.70637
-54.5,905,662.488376
-44.0,995,724.049378
-12.5,1208,734.563089
-28.5,1558,842.222177
-34.5,975,850.738078
-48.0,1526,916.773693
67.5,2000,1030.322212
61.0,1461,1095.562516
30.0,1478,1162.256624
53.0,1625,1218.721428
41.5,1559,1284.74688
43.5,1721,1353.751559
89.5,2098,1468.59699
-44.0,965,1530.883166
48.5,2100,1603.401847
45.5,1913,1663.726628
52.0,2596,1792.418517
48.0,2110,1894.706069
65.0,1822,1965.156849
67.0,2964,2088.696517
58.5,3000,2224.198629
80.0,2145,2327.030613
77.5,1077,2336.691038
112.5,2371,2409.914345
44.5,1913,2515.910036
88.5,2031,2587.525935
60.0,3000,2756.549152
56.5,1992,2828.392694
