#{"t_start": 1721040892.6244423, "env_id": "None"}
r,l,t
17.5,1274,18.747979
-78.0,529,23.559187
-13.5,1151,88.018256
-99.0,387,91.390515
-83.5,904,153.177127
-73.5,946,172.597985
-75.0,802,179.588837
-86.0,690,239.37467
-24.5,983,248.036589
-66.0,699,308.220662
-64.0,850,315.733114
-73.0,982,352.530155
-63.5,999,415.358244
-21.5,1318,479.613756
-84.0,836,487.001718
-45.0,865,494.738348
-42.5,1121,587.821069
-27.0,1686,656.258872
32.0,1666,723.568678
-2.0,1297,734.914752
-45.5,878,836.590581
-69.5,1243,847.533002
-14.0,1106,909.809818
-14.5,1044,918.941785
-26.0,1683,1029.70018
-11.5,1352,1093.961887
32.5,1731,1162.983384
-76.0,714,1169.109687
49.5,1366,1275.713504
44.0,1788,1345.10474
47.0,1136,1355.315629
53.0,1677,1466.471185
32.5,2613,1543.073793
73.5,1612,1611.46581
-2.5,2140,1727.025598
80.5,1349,1791.482803
67.5,1160,1801.771089
77.0,2891,1965.274777
95.5,834,1972.614559
76.5,1931,2087.039704
65.5,1929,2158.565897
15.0,2863,2268.211181
16.0,2863,2400.00438
99.0,1151,2410.177346
68.5,1210,2509.933274
73.0,1515,2576.752692
66.0,2831,2654.602071
67.0,1994,2762.06915
96.5,964,2770.641999
86.0,1888,2841.583735
